No;Brand;Nama;CPU;GPU;RAM;Storage;Layar;Sound;Baterai;Bobot;Bahan;Bundle;Harga;Image1;Image2;Image 3;Image4;Tokped;Shopee
1;Acer;Aspire Lite AL14-51M;Intel Core i3-1215U;Intel UHD Graphics;8GB DDR5-4800MHz (1x Slot SODIMM, Upgradeable up to 16GB/32GB, Single Channel);256GB / 512GB NVMe Gen 3/4 (Upgradeable, +1 Slot);"14"" WUXGA (1920x1200), IPS, 60Hz, Aspek rasio 16:10";Stereo;45.6 Wh, Charger 45W;1.35 kg ;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.600.000 - 6.900.000;1a.jpeg;1b.jpeg;1c.jpeg;1d.jpeg;https://tk.tokopedia.com/ZSP1Eyg7M/;https://id.shp.ee/X5THpCC
2;Advan;Workpro Lite;Intel Core i3-1220P ;Intel UHD Graphics;8GB DDR4 Onboard (Soldered, Tidak Upgradeable);256GB NVMe PCIe 3.0 (+1 Slot, Upgradeable);"14"" HD (1366x768) / FHD, Panel TN/IPS, 60Hz";Stereo ;6000mAh;1.40 kg;Metal Cover dan polikarbonat;Windows 11 Home ;Rp 4.400.000 - 5.200.000;2a.jpeg;2b.jpeg;2c.jpeg;2d.jpeg;https://tk.tokopedia.com/ZSPJ18cHE/;https://id.shp.ee/E92xgYN
3;Axioo;MyBook Hype 3 Gen 11;Intel Core i3-1125G4;Intel UHD Graphics;8GB DDR4 (Upgradeable);256GB NVMe (+1 Slot, Upgradeable);"14"" IPS Full HD (1920x1080), 60Hz";Stereo ;4000mAh;1.46 kg;Polikarbonat ;Windows 11 Home;Rp 4.600.000 - 5.000.000;3a.jpeg;3b.jpeg;3c.jpeg;3d.jpeg;https://tk.tokopedia.com/ZSPJRd2wc/;https://id.shp.ee/wJn2jEx
4;Axioo;MyBook Z6 & Z6 Metal;Intel Core i3-1215U;Intel UHD Graphics;16GB DDR4 3200MHz (2 Slot SODIMM, Dual Channel, Upgradeable up to 64GB);512GB NVMe Gen 4 (+1 Slot);"14"" IPS Full HD(1920x1080), 60Hz";3D Surround Sound (Software enhancement);55 Wh, Charger USB-C;1.60 kg;Polikarbonat, Full Metal Body;Windows 11 Pro + OHS 2021;Rp 5.600.000 - 6.400.000;4a.jpeg;4b.jpeg;4c.jpeg;4d.jpeg;https://tk.tokopedia.com/ZSPJLermG/;https://id.shp.ee/nQezEm6
5;Axioo;MyBook Saga 10;Intel Core i3-1220P;Intel Iris Xe;8GB / 16GB DDR4 (2 Slot SODIMM, Upgradeable);256GB / 512GB NVMe (Upgradeable);"16"" WQXGA (2560x1600) IPS, Aspek Rasio 16:10";Stereo;50-60 Wh;1.90 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.500.000 - 6.000.000;5a.jpeg;5b.jpeg;5c.jpeg;5d.jpeg;https://tk.tokopedia.com/ZSPJNQPss/;https://id.shp.ee/goe3YDW
6;Axioo;MyBook Hype 5 Gen 12;Intel Core i5-1235U ;Intel Iris Xe Eligible;8GB DDR4 (Onboard, ada 1 slot kosong SODIMM  untuk upgrade);256GB NVMe;"14"" IPS Full HD(1920x1080), 60Hz";Stereo;45 Wh;1.40 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.500.000 - 6.000.000;6a.jpeg;6b.jpeg;6c.jpeg;6d.jpeg;https://tk.tokopedia.com/ZSPJYfShV/;https://id.shp.ee/4WXfc7b
7;Axioo;MyBook Hype JKT48 Special Edition;Intel Core i3-1215U;Intel Iris Xe;16GB DDR4 (8GB Onboard + 8GB SODIMM) - Dual Channel;512GB NVMe ;"14"" IPS Full HD(1920x1080), 60Hz";Stereo;38Wh;1.40 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.500.000 - 6.000.000;7a.jpeg;7b.jpeg;7c.jpeg;7d.jpeg;https://tk.tokopedia.com/ZSPJYqSec/;https://id.shp.ee/Cdgxzmd
8;Axioo;Hype 5 AMD X5-2 Lolipop Edition;AMD Ryzen 5-7430U;AMD Radeon Vega 7;8GB  DDR4 (2 Slot SODIMM, Upgradeable up to 64GB);256GB NVMe;"14"" IPS Full HD(1920x1080), 60Hz";Stereo;45 Wh;1.40 kg;Polikarbonat dan cat Indigo/Lolipop;Windows 11 Home + OHS 2021;Rp 6.200.000 - 6.800.000;8a.jpeg;8b.jpeg;8c.jpeg;8d.jpeg;https://tk.tokopedia.com/ZSPJ9PFLP/;https://id.shp.ee/RJJX1GE
9;Axioo;Hype R3;Intel Core i3-1215U;Intel UHD Graphics;12GB LPDDR5 4800MHz Onboard;256GB NVMe;"14"" IPS Full HD+(1920x1200), 60Hz";Stereo;60Wh;1.40 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 4.500.000 - 5.000.000;9a.jpeg;9b.jpeg;9c.jpeg;9d.jpeg;https://tk.tokopedia.com/ZSPJXmyD6/;https://id.shp.ee/abZM8cS
10;HP;14S-DQ5567TU;Intel Core i3-1215U;Intel UHD Graphics;4GB / 8GB DDR4 3200MHz (2 Slot SODIMM, Upgradeable);258GB / 512GB NVMe;"14"" Full HD(1920x1080), Panel TN, 60Hz";Dual Speakers;41 Wh, Fast Charge;1.46 kg;Polikarbonat ;Windows 11 Home + OHS 2021;Rp 6.300.000 - 7.000.000;10a.jpeg;10b.jpeg;10c.jpeg;10d.jpeg;https://tk.tokopedia.com/ZSPJ4885D/;https://id.shp.ee/jcLiNtr
11;Tecno;MegaBook K16S;AMD Ryzen 5 7430U;AMD Radeon Graphics;8GB / 16GB Onboard;512GB NVMe;"16"" 16:10 FHD. TÜV 56% NTSC/300 nits, 60Hz";Tecno VOC Sound System (Speaker 2W x 2), support DTS;70 Wh;1.75 kg;Metal Body;Windows 11 Home ;Rp 6.300.000 - 7.000.000;11a.jpeg;11b.jpeg;11c.jpeg;11d.jpeg;https://tk.tokopedia.com/ZSPJVmeT6/;https://id.shp.ee/WJfBVAA
12;Acer ;Aspire Lite 14;Intel Core i3-N305;Intel UHD Graphics; 8GB DDR5 / LPDDR5 (Onboard, Single Channel);512GB NVMe;"14"" WUXGA (1920x1200) IPS, 60Hz";Stereo;6000 mAH;1.35 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.500.000 - 6.500.000;12a.jpeg;12b.jpeg;12c.jpeg;12d.jpeg;https://tk.tokopedia.com/ZSPJquvwr/;https://id.shp.ee/fN29nZ6
13;Advan;TBook N100;Intel Processor N100 ;Intel UHD Graphics;4GB DDR4 (UPGRADEABLE);128GB EMMC x Sata;" 14"" HD TN 1366 x 768";Stereo;45.6Wh;1.20 kg;Plastik dan Metal kickstand;Windows 11 Home ;Rp 3.100.000 - 3.300.000;13a.jpeg;13b.jpeg;13c.jpeg;13d.jpeg;https://tk.tokopedia.com/ZSPJgJheV/;https://id.shp.ee/ipXgD9k
14;Infinix;Inbook Air XL442;Intel Core i5-1334U;Intel Iris Xe;16GB LPDDR4X 4266MHz (Onboard, Dual Channel, Tidak Upgradeable);512GB M.2 NVMe PCIe 3.0 SSD;14 Full HD (1920x1080) IPS 300nits, 100 % sRGB 60Hz;Dual Speaker;57 Wh;1.24 kg;AD Aluminum Alloy;Windows 11 Home + OHS 2021;Rp 6.900.000 - 7.100.000;14a.jpeg;14b.jpeg;14c.jpeg;14d.jpeg;https://tk.tokopedia.com/ZSPJpk4MS/;https://id.shp.ee/VkPnE6n
15;Zyrex;Ultra N100;Intel Processor N100 ;Intel UHD Graphics;8GB DDR4 Onboard;256GB NVMe (Slot M.2 SATA 2280) + 128GB eMMC;"14"" IPS Full HD(1920x1080), 60Hz";Stereo;6000mAh;1.40 kg;Polikarbonat;Windows 11 Home ;Rp 3.400.000 - 4.200.000;15a.jpeg;15b.jpeg;15c.jpeg;15d.jpeg;https://tk.tokopedia.com/ZSPddW7vG/;https://id.shp.ee/jQnWmBt
16;Advan;Workmate;AMD Ryzen 5 3500U;AMD Radeon RX Vega 8 Graphics;8GB DDR4 2666MHz (1 Slot SODIMM, Upgradeable);256GB SSD NVMe PCIe (Upgradeable);"14"" FHD+ (1920 x 1200), Rasio 16:10, Panel IPS";Dual Speakers;6000mAh / 45.6 Wh, Charge USB-C PD;1.40 kg;Polikarbonat;Windows 11 Home;Rp 4.600.000 - 5.500.000;16a.jpeg;16b.jpeg;16c.jpeg;16d.jpeg;https://tk.tokopedia.com/ZSPd87p6Y/;https://id.shp.ee/TrBcg4P
17;Infinix;XBook B15;AMD Ryzen 7 5825U;AMD Radeon Graphics;8GB DDR4 3200MHz (2 Slot SODIMM, Upgradeable);512GB M.2 NVMe PCIe 3.0 (Upgradeable);"15.6"" FHD (1920 x 1080), 100% sRGB, Panel IPS, 300 nits";Dual Stereo Speakers, DTS Audio;50 Wh, Fast Charge 45W/65W Type-C;1.24 kg;Metal Body;Windows 11 Home ;Rp 6.200.000 - 6.600.000;17a.jpeg;17b.jpeg;17c.jpeg;17d.jpeg;https://tk.tokopedia.com/ZSPdNGhE7/;https://id.shp.ee/cdSKEHM
18;SPC;Life 5;Intel Core i5-12450H;Intel UHD Graphics;8GB DDR4 2400MHz (1 Slot SODIMM, Upgradeable);512GB SSD NVMe (Upgradeable);"14"" FHD (1920 x 1080), Panel IPS";Stereo;38 Wh / 5000mAh;1.40 kg;Body Polikarbonat;Windows 11 Pro;Rp 5.500.000 - 5.800.000;18a.jpeg;18b.jpeg;18c.jpeg;18d.jpeg;https://tk.tokopedia.com/ZSPdYdJ4A/;https://id.shp.ee/z4FeTu4
19;Tecno;MegaBook K15S; AMD Ryzen 5 7430U;AMD Radeon Graphics;8GB / 16GB DDR4 (Onboard, Dual channel fixed, Tidak Upgradeable);512GB SSD NVMe (Upgradeable);"15.6"" FHD (1920 x 1080), Panel IPS";Tecno VOC Sound System (DTS X Ultra), 2W x 2 ;70 Wh, 65W GaN Charger;1.40 kg;Metal Body;Windows 11 Home;Rp 6.300.000 - 7.000.000;19a.jpeg;19b.jpeg;19c.jpeg;19d.jpeg;https://tk.tokopedia.com/ZSPdxUgBb/;https://id.shp.ee/NND78Es
20;Zyrex;D-Tech Pro;AMD Ryzen 5 6600H ;AMD Radeon 660M; 16GB LPDDR5 6400MHz Onboard, tidak upgradeable; 512GB SSD NVMe (Upgradeable);"14"" FHD (1920 x 1080), Panel IPS, 100% sRGB";Stereo Speakers;58Wh;1.40 kg;Metal Body;Windows 11 Home;Rp 6.200.000 - 6.800.000;20a.jpeg;20b.jpeg;20c.jpeg;20d.jpeg;https://tk.tokopedia.com/ZSPdQay3m/;https://id.shp.ee/qsHPowM
21;Asus;VivoBook Go 14 (E140FA);AMD Ryzen 3 7320U; AMD Radeon Graphics;8GB LPDDR5 5500MHz Onboard Dual Channel, tidak upgradeable;256GB / 512GB M.2 NVMe PCIe 3.0 (+1 Slot Upgradeable);"14"" FHD (1920 x 1080), 60Hz, Panel TN atau IPS, 45% NTSC";SonicMaster, Sertifikasi Dirac;42 Wh, Fast Charge;1.38 kg;Polikarbonat;Windows 11 Home + OHS 2021;Rp 5.700.000 - 5.900.000;21a.jpeg;21b.jpeg;21c.jpeg;21d.jpeg;https://tk.tokopedia.com/ZSPdCQSes/;https://id.shp.ee/9RdDVvD
22;Lenovo; V14 G4 (AMN);AMD Athlon Silver 7120U;AMD Radeon 610M;8GB LPDDR5 5500MHz Onboard Dual Channel, tidak upgradeable;256GB M.2 NVMe PCIe(+1 Slot M.2);"14"" FHD (1920 x 1080), Panel TN, Anti-glare";Stereo speakers, 1.5W x2, Dolby Audio;38 Wh ;1.37 kg;Polikarbonat; Windows 11 Home ;Rp 4.800.000 - 5.300.000;22a.jpeg;22b.jpeg;22c.jpeg;22d.jpeg;https://tk.tokopedia.com/ZSPd46SJ2/;https://id.shp.ee/tdLBLid
23;Acer ;Aspire Lite (AL14-31P/32P);Intel N100 ;Intel UHD Graphics;8GB DDR5 4800MHz Upgradeable;512GB SSD NVMe Gen 3 (Upgradeable);"14"" WUXGA (1920 x 1200), Panel IPS";Stereo;45.6Wh;1.35 kg;Campuran Metal cover & Plastik;Windows 11 Home + OHS 2021;Rp4.800.000 - 5.700.000;23a.jpeg;23b.jpeg;23c.jpeg;23d.jpeg;https://tk.tokopedia.com/ZSPdVSQy2/;https://id.shp.ee/MSWrBxj
24;Axioo;Hype 5 AMD JKT48 X3 Lollipop;AMD Ryzen 5 3500U;AMD Radeon Vega 8;8GB DDR4 Onboard (1 Slot SODIMM);256GB M.2 NVMe Gen 3x2 (Upgradeable) ;"14"" FHD (1920 x 1080), Panel IPS";Stereo;45.6Wh;1.40 kg;Polikarbonat;Windows 11 Home;Rp 4.700.000 - 5.100.000;24a.jpeg;24b.jpeg;24c.jpeg;24d.jpeg;https://tk.tokopedia.com/ZSPdb1NyL/;https://id.shp.ee/xaDFuVr
25;Asus;ExpertBook P1 (P1412);Intel Core i3-1115G4 / i5-1135G7;Intel UHD Graphics (i3) / Intel Iris Xe (i5);8GB DDR4 3200MHz (Single/Dual Channel, Upgradeable, 1 Slot SODIMM);"256GB/512GB M.2 NVMe PCIe 3.0 SSD (Upgradeable, 1 Slot M.2 + 1 Slot SATA 2.5"" HDD expansion)";"14"" FHD (1920 x 1080), 60Hz, TN/IPS Level, Anti-glare";SonicMaster;37Wh atau 42Wh, 45W Adapter;1.50 kg;Plastik Polikarbonat;Windows 11 Home;Rp 6.600.000 - 9.000.000;25a.jpeg;25b.jpeg;25c.jpeg;25d.jpeg;https://tk.tokopedia.com/ZSPdgjvbg/;https://id.shp.ee/KksJd8c
26;Lenovo;IdeaPad Slim 3i Gen 9 (14IRU9);Intel Core 3 100U;Intel Graphics;8GB LPDDR5x 5200MHz (Onboard, Dual Channel, Tidak Upgradeable);512GB M.2 NVMe PCIe 4.0 SSD (Upgradeable, 1 Slot M.2 2242);"14"" FHD (1920x1080), 60Hz, IPS, 300nits, Anti-glare";Stereo Speakers 1.5W x2, Dolby Audio;47Wh, 65W Round Tip;1.37 kg;PC-ABS;Windows 11 Home + OHS 2021;Rp 6.800.000 - 7.000.000;26a.jpeg;26b.jpeg;26c.jpeg;26d.jpeg;https://tk.tokopedia.com/ZSPdt8aNj/;https://id.shp.ee/cxCQPk2
27;MSI;Thin 15 B12UCX;Intel Core i5-12450H;NVIDIA GeForce RTX 2050/RTX 3050 4GB GDDR6;8GB/16GB DDR4 3200MHz (Single Channel default, Upgradeable, 2 Slot SODIMM);"512GB NVMe PCIe Gen4 SSD (Upgradeable, 1 Slot M.2 + 1 Slot 2.5"" SATA HDD)";"15.6"" FHD (1920x1080), 144Hz, IPS-Level Panel";2x 2W Speaker, Hi-Res Audio;52.4Wh, 120W Adapter;1.86 kg;Aluminium dan Plastik;Windows 11 Home;Rp 9.500.000 - 10.500.000;27a.jpeg;27b.jpeg;27c.jpeg;27d.jpeg;https://tk.tokopedia.com/ZSPdtoD31/;https://id.shp.ee/wfYLsy3
28;Acer ;Nitro V 15 (ANV15-41); AMD Ryzen 5 6600H;NVIDIA GeForce RTX 2050 4GB GDDR6;8GB DDR5 4800MHz (Single Channel default, Upgradeable, 2 Slot SODIMM);512GB PCIe Gen4 NVMe (Upgradeable, 1 Slot tersedia);"15.6"" FHD (1920 x 1080), 165Hz, IPS, 45% NTSC";DTS:X Ultra Audio;57Wh, 135W Adapter;2.10 kg;Plastik Polikarbonat;Windows 11 Home + OHS 2021;Rp 9.900.000 - 10.500.000;28a.jpeg;28b.jpeg;28c.jpeg;28d.jpeg;https://tk.tokopedia.com/ZSPdWN43s/;https://id.shp.ee/5ja3e95
